code,name,market,board,asset_type,org_type,sector,index_membership
000001,平安银行,sz,main,stock,,银行Ⅱ,hs300
000002,万科A,sz,main,stock,,房地产开发,hs300
000009,中国宝安,sz,main,stock,,综合Ⅱ,csi500
000021,深科技,sz,main,stock,,消费电子,csi500
000027,深圳能源,sz,main,stock,,电力,csi500
000032,深桑达A,sz,main,stock,,专业工程,csi500
000034,神州数码,sz,main,stock,,IT服务Ⅱ,csi500
000039,中集集团,sz,main,stock,,通用设备,csi500
000050,深天马A,sz,main,stock,,光学光电子,csi500
000060,中金岭南,sz,main,stock,,工业金属,csi500
000062,深圳华强,sz,main,stock,,其他电子Ⅱ,csi500
000063,中兴通讯,sz,main,stock,,通信设备,hs300
000088,盐田港,sz,main,stock,,航运港口,csi500
000100,TCL科技,sz,main,stock,,光学光电子,hs300
000155,川能动力,sz,main,stock,,电力,csi500
000157,中联重科,sz,main,stock,,工程机械,hs300
000166,申万宏源,sz,main,stock,,证券Ⅱ,hs300
000301,东方盛虹,sz,main,stock,,炼化及贸易,hs300
000333,美的集团,sz,main,stock,,白色家电,hs300
000338,潍柴动力,sz,main,stock,,汽车零部件,hs300
000400,许继电气,sz,main,stock,,电网设备,csi500
000408,藏格矿业,sz,main,stock,,农化制品,hs300
000415,渤海租赁,sz,main,stock,,多元金融,csi500
000423,东阿阿胶,sz,main,stock,,中药Ⅱ,csi500
000425,徐工机械,sz,main,stock,,工程机械,hs300
000429,粤高速A,sz,main,stock,,铁路公路,csi500
000513,丽珠集团,sz,main,stock,,化学制药,csi500
000519,中兵红箭,sz,main,stock,,地面兵装Ⅱ,csi500
000528,柳工,sz,main,stock,,工程机械,csi500
000537,绿发电力,sz,main,stock,,电力,csi500
000538,云南白药,sz,main,stock,,中药Ⅱ,hs300
000539,粤电力A,sz,main,stock,,电力,csi500
000559,万向钱潮,sz,main,stock,,汽车零部件,csi500
000568,泸州老窖,sz,main,stock,,白酒Ⅱ,hs300
000582,北部湾港,sz,main,stock,,航运港口,csi500
000591,太阳能,sz,main,stock,,电力,csi500
000596,古井贡酒,sz,main,stock,,白酒Ⅱ,hs300
000598,兴蓉环境,sz,main,stock,,环境治理,csi500
000617,中油资本,sz,main,stock,,多元金融,hs300
000623,吉林敖东,sz,main,stock,,中药Ⅱ,csi500
000625,长安汽车,sz,main,stock,,乘用车,hs300
000629,钒钛股份,sz,main,stock,,冶钢原料,csi500
000630,铜陵有色,sz,main,stock,,工业金属,hs300
000651,格力电器,sz,main,stock,,白色家电,hs300
000657,中钨高新,sz,main,stock,,小金属,hs300
000661,长春高新,sz,main,stock,,生物制品,csi500
000683,博源化工,sz,main,stock,,化学原料,csi500
000703,恒逸石化,sz,main,stock,,炼化及贸易,csi500
000708,中信特钢,sz,main,stock,,特钢Ⅱ,hs300
000709,河钢股份,sz,main,stock,,普钢,csi500
000723,美锦能源,sz,main,stock,,焦炭Ⅱ,csi500
000725,京东方A,sz,main,stock,,光学光电子,hs300
000728,国元证券,sz,main,stock,,证券Ⅱ,csi500
000729,燕京啤酒,sz,main,stock,,非白酒,csi500
000733,振华科技,sz,main,stock,,军工电子Ⅱ,csi500
000737,北方铜业,sz,main,stock,,工业金属,csi500
000738,航发控制,sz,main,stock,,航空装备Ⅱ,csi500
000739,普洛药业,sz,main,stock,,化学制药,csi500
000750,国海证券,sz,main,stock,,证券Ⅱ,csi500
000768,中航西飞,sz,main,stock,,航空装备Ⅱ,hs300
000776,广发证券,sz,main,stock,,证券Ⅱ,hs300
000783,长江证券,sz,main,stock,,证券Ⅱ,csi500
000785,居然智家,sz,main,stock,,一般零售,csi500
000786,北新建材,sz,main,stock,,装修建材,csi500
000792,盐湖股份,sz,main,stock,,农化制品,hs300
000800,一汽解放,sz,main,stock,,商用车,csi500
000807,云铝股份,sz,main,stock,,工业金属,hs300
000825,太钢不锈,sz,main,stock,,特钢Ⅱ,csi500
000830,鲁西化工,sz,main,stock,,化学原料,csi500
000831,中国稀土,sz,main,stock,,小金属,csi500
000858,五粮液,sz,main,stock,,白酒Ⅱ,hs300
000878,云南铜业,sz,main,stock,,工业金属,csi500
000883,湖北能源,sz,main,stock,,电力,csi500
000887,中鼎股份,sz,main,stock,,汽车零部件,csi500
000893,亚钾国际,sz,main,stock,,农化制品,csi500
000895,双汇发展,sz,main,stock,,食品加工,hs300
000898,鞍钢股份,sz,main,stock,,普钢,csi500
000921,海信家电,sz,main,stock,,白色家电,csi500
000932,华菱钢铁,sz,main,stock,,普钢,csi500
000937,冀中能源,sz,main,stock,,煤炭开采,csi500
000938,紫光股份,sz,main,stock,,IT服务Ⅱ,hs300
000951,中国重汽,sz,main,stock,,商用车,csi500
000959,首钢股份,sz,main,stock,,普钢,csi500
000960,锡业股份,sz,main,stock,,小金属,csi500
000963,华东医药,sz,main,stock,,化学制药,hs300
000967,盈峰环境,sz,main,stock,,环保设备Ⅱ,csi500
000975,山金国际,sz,main,stock,,贵金属,hs300
000977,浪潮信息,sz,main,stock,,计算机设备,hs300
000983,山西焦煤,sz,main,stock,,煤炭开采,csi500
000987,越秀资本,sz,main,stock,,多元金融,csi500
000988,华工科技,sz,main,stock,,自动化设备,hs300
000997,新大陆,sz,main,stock,,计算机设备,csi500
000999,华润三九,sz,main,stock,,中药Ⅱ,hs300
001203,大中矿业,sz,main,stock,,冶钢原料,csi500
001221,悍高集团,sz,main,stock,,家居用品,csi500
001280,中国铀业,sz,main,stock,,小金属,hs300
001286,陕西能源,sz,main,stock,,电力,csi500
001309,德明利,sz,main,stock,,半导体,csi500
001386,马可波罗,sz,main,stock,,家居用品,csi500
001389,广合科技,sz,main,stock,,元件,csi500
001391,国货航,sz,main,stock,,物流,hs300
001696,宗申动力,sz,main,stock,,通用设备,csi500
001965,招商公路,sz,main,stock,,铁路公路,hs300
001979,招商蛇口,sz,main,stock,,房地产开发,hs300
002001,新和成,sz,main,stock,,化学制品,hs300
002007,华兰生物,sz,main,stock,,生物制品,csi500
002008,大族激光,sz,main,stock,,自动化设备,csi500
002025,航天电器,sz,main,stock,,军工电子Ⅱ,csi500
002027,分众传媒,sz,main,stock,,广告营销,hs300
002028,思源电气,sz,main,stock,,电网设备,hs300
002032,苏泊尔,sz,main,stock,,小家电,csi500
002044,美年健康,sz,main,stock,,医疗服务,csi500
002049,紫光国微,sz,main,stock,,半导体,hs300
002050,三花智控,sz,main,stock,,家电零部件Ⅱ,hs300
002056,横店东磁,sz,main,stock,,光伏设备,csi500
002064,华峰化学,sz,main,stock,,化学纤维,csi500
002065,东华软件,sz,main,stock,,IT服务Ⅱ,csi500
002074,国轩高科,sz,main,stock,,电池,hs300
002078,太阳纸业,sz,main,stock,,造纸,csi500
002085,万丰奥威,sz,main,stock,,汽车零部件,csi500
002120,韵达股份,sz,main,stock,,物流,csi500
002126,银轮股份,sz,main,stock,,汽车零部件,csi500
002130,沃尔核材,sz,main,stock,,其他电子Ⅱ,csi500
002131,利欧股份,sz,main,stock,,通用设备,csi500
002138,顺络电子,sz,main,stock,,元件,csi500
002142,宁波银行,sz,main,stock,,银行Ⅱ,hs300
002152,广电运通,sz,main,stock,,计算机设备,csi500
002153,石基信息,sz,main,stock,,软件开发,csi500
002155,湖南黄金,sz,main,stock,,贵金属,csi500
002157,正邦科技,sz,main,stock,,养殖业,csi500
002179,中航光电,sz,main,stock,,军工电子Ⅱ,hs300
002185,华天科技,sz,main,stock,,半导体,csi500
002195,岩山科技,sz,main,stock,,IT服务Ⅱ,csi500
002202,金风科技,sz,main,stock,,风电设备,hs300
