code,name,market,board,asset_type,org_type,sector,index_membership
000333,美的集团,sz,main,stock,通用,,
000651,格力电器,sz,main,stock,通用,,
002032,苏泊尔,sz,main,stock,通用,,
002508,老板电器,sz,main,stock,通用,,
600690,海尔智家,sh,main,stock,通用,,
603868,飞科电器,sh,main,stock,通用,,
600036,招商银行,sh,main,stock,银行,,
600941,中国移动,sh,main,stock,通用,,
601318,中国平安,sh,main,stock,保险,,
601398,工商银行,sh,main,stock,银行,,
600028,中国石化,sh,main,stock,通用,,
600900,长江电力,sh,main,stock,通用,,
601088,中国神华,sh,main,stock,通用,,
000858,五粮液,sz,main,stock,通用,,
600519,贵州茅台,sh,main,stock,通用,,
002415,海康威视,sz,main,stock,通用,,
300750,宁德时代,sz,gem,stock,通用,,
510300,沪深300ETF,sh,main,etf,通用,,
510880,红利ETF,sh,main,etf,通用,,
512890,红利低波ETF,sh,main,etf,通用,,
518880,黄金ETF,sh,main,etf,通用,,
